CustomerID,Recency,Frequency,Monetary,Cluster
12346,5252,1,77183.6,4
12347,4929,182,4310.0,0
12348,5002,31,1797.24,0
12349,4945,73,1757.55,0
12350,5237,17,334.4,1
12352,4963,85,2506.04,0
12353,5131,4,89.0,1
12354,5159,58,1079.4,1
12355,5141,13,459.4,1
12356,4949,59,2811.43,0
12357,4960,131,6207.67,0
12358,4928,19,1168.06,0
12359,4984,245,6310.03,0
12360,4979,129,2662.06,0
12361,5214,10,189.9,1
12362,4930,266,5226.23,0
12363,5036,23,552.0,0
12364,4934,85,1313.1,0
12365,5218,22,641.38,1
12367,4931,11,168.9,0
12370,4978,166,3541.94,0
12371,4971,63,1887.96,0
12372,4998,52,1298.04,0
12373,5238,14,364.6,1
12374,4952,33,742.9300000000001,0
12375,4937,17,457.5,0
12377,5242,77,1628.12,1
12378,5056,219,4008.62,0
12379,5008,40,852.24,0
12380,4948,104,2724.81,0
12381,4931,87,1845.31,0
12383,5111,99,1850.56,1
12384,4955,27,585.27,0
12386,5264,10,401.9,1
12388,4942,100,2780.66,0
12390,5006,32,549.84,0
12391,4948,93,439.66,0
12393,4999,64,1582.6000000000001,0
12394,4990,27,1272.48,0
12395,4946,156,3018.63,0
12397,4962,126,2409.9,0
12398,4972,85,1635.6599999999999,0
12399,5046,59,1108.65,0
12401,5230,5,84.3,1
12402,5250,11,225.6,1
12403,4976,5,427.7,0
12405,5075,54,1710.39,1
12406,4949,105,3415.3,0
12407,4976,77,1708.1200000000001,0
12408,4959,105,2888.55,0
12409,5005,109,11072.67,0
12410,5235,26,693.3299999999999,1
12412,5001,61,1226.88,0
12413,4993,38,758.1,0
12414,5144,18,562.41,1
12415,4951,714,124914.53,4
12417,4930,192,3649.1,0
12418,5039,34,668.58,0
12420,4990,29,600.39,0
12421,4942,45,807.04,0
12422,5022,39,803.5600000000001,0
12423,4927,125,1859.31,0
12424,5089,30,1760.96,1
12425,5005,36,777.2,0
12426,5121,30,582.73,1
12427,4948,31,825.8,0
12428,4952,294,7956.46,0
12429,4936,97,3750.4,0
12430,4970,11,256.4,0
12431,4962,234,6419.95,0
12432,4969,108,5059.32,0
12433,4927,420,13375.87,0
12434,5011,50,806.14,0
12435,5006,36,7829.89,0
12436,5026,16,509.01,0
12437,4928,199,4951.41,0
12438,4941,98,2906.85,0
12441,5293,11,173.55,1
12442,4930,12,172.06,0
12444,4948,176,5005.46,0
12445,4949,4,133.4,0
12446,4984,57,1002.3100000000001,0
12447,5170,26,476.49,1
12448,4971,22,449.45,0
12449,4949,191,4067.29,0
12450,5083,8,197.88,1
12451,4937,354,9035.52,0
12452,4943,22,430.57,0
12453,5061,43,707.09,0
12454,4983,15,3528.34,0
12455,5000,90,2466.86,0
12456,4971,125,3181.04,0
12457,4993,62,2363.23,0
12458,4998,38,947.4,0
12461,5021,35,826.88,0
12462,4945,62,1189.59,0
12463,4980,83,1344.78,0
12464,4937,29,1212.05,0
